        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e-02,        +1.414213562373e-01,        +1.495690637964e-01,        +5.679779401027e-05,        +1.332736116979e-01,        -7.284190143204e-05,        +1.414213562373e-01,        +1.332736116979e-01,        -7.284190143095e-05,        +1.495690646840e-01,        +5.710133029234e-05
 2.00000000e-02,        +1.414213562373e-01,        +1.495698143732e-01,        +1.130285149514e-04,        +1.332727502901e-01,        -1.451154978338e-04,        +1.414213562373e-01,        +1.332727502901e-01,        -1.451154978377e-04,        +1.495698181239e-01,        +1.136357847019e-04
 5.00000000e-01,        +1.414213562373e-01,        +1.496642160466e-01,        +2.767563629878e-03,        +1.330940969812e-01,        -3.544808484831e-03,        +1.414213562373e-01,        +1.330940969812e-01,        -3.544808484832e-03,        +1.496667509038e-01,        +2.782298567225e-03
 1.00000000e+00,        +1.414213562373e-01,        +1.498865810263e-01,        +5.495701751741e-03,        +1.326837776489e-01,        -6.942905278411e-03,        +1.414213562373e-01,        +1.326837776489e-01,        -6.942905278411e-03,        +1.498953090206e-01,        +5.521393900426e-03
 1.50000000e+00,        +1.414213562373e-01,        +1.502315238388e-01,        +8.211162023143e-03,        +1.321418205866e-01,        -1.021944007090e-02,        +1.414213562373e-01,        +1.321418205866e-01,        -1.021944007090e-02,        +1.502453929200e-01,        +8.245477852131e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.507121559178e-01,        +1.091172336148e-02,        +1.314964289997e-01,        -1.341566160912e-02,        +1.414213562373e-01,        +1.314964289997e-01,        -1.341566160912e-02,        +1.507315810030e-01,        +1.095486746714e-02
 2.50000000e+00,        +1.414213562373e-01,        +1.513329356256e-01,        +1.358480092546e-02,        +1.307470174648e-01,        -1.655424990417e-02,        +1.414213562373e-01,        +1.307470174648e-01,        -1.655424990417e-02,        +1.513592253631e-01,        +1.363615926091e-02
 3.00000000e+00,        +1.414213562373e-01,        +1.520919869709e-01,        +1.621808992498e-02,        +1.298875195552e-01,        -1.964195929992e-02,        +1.414213562373e-01,        +1.298875195552e-01,        -1.964195929992e-02,        +1.521260255177e-01,        +1.627656216577e-02
 3.50000000e+00,        +1.414213562373e-01,        +1.529848337842e-01,        +1.880143367911e-02,        +1.289138404545e-01,        -2.267727407564e-02,        +1.414213562373e-01,        +1.289138404545e-01,        -2.267727407564e-02,        +1.530270845998e-01,        +1.886600396804e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.540061042559e-01,        +2.132639971888e-02,        +1.278248541958e-01,        -2.565526200053e-02,        +1.414213562373e-01,        +1.278248541958e-01,        -2.565526200053e-02,        +1.540568574455e-01,        +2.139628453035e-02
