        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e-02,        +6.269368186021e-13,        +4.005272559466e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.043079369561e-13,        +4.005273155173e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-02,        +6.269239972069e-13,        +3.973780716847e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.042870876154e-13,        +3.973780622412e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +6.133656365203e-13,        +3.834426712760e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.913803154850e-13,        +3.834376098610e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +5.830214589693e-13,        +3.756217075255e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.624076532401e-13,        +3.755969945861e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +5.506415929482e-13,        +3.701617865579e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.311297330135e-13,        +3.701360445834e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +5.234663191714e-13,        +3.663482032972e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.047638482560e-13,        +3.663233957281e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +5.029709499271e-13,        +3.635732866725e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.849254703434e-13,        +3.635386051827e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +4.882643930396e-13,        +3.614307109286e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.707841725847e-13,        +3.613771337806e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +4.780089758615e-13,        +3.596695616081e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.610224120797e-13,        +3.595937300070e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +4.710621054427e-13,        +3.581380172245e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.545062232098e-13,        +3.580413866154e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +4.665797202543e-13,        +3.567430617761e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.503990455849e-13,        +3.566299980366e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +4.639669627231e-13,        +3.554263791852e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.481155599377e-13,        +3.553022287896e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +4.628081530457e-13,        +3.541504689550e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.472519278191e-13,        +3.540199538778e-12,        +0.000000000000e+00,        +0.000000000000e+00
