        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e-02,        -2.539841601035e+01,        +2.420903104417e-01,        -4.795387043396e-01,        -1.845296186468e-02,        -4.795387043396e-01,        -1.845296186556e-02,        -2.539841459494e+01,        +2.436069158767e-01
 2.00000000e-02,        -2.539742795563e+01,        +4.799344288256e-01,        -4.795843667752e-01,        -3.666771423942e-02,        -4.795843667752e-01,        -3.666771423977e-02,        -2.539742215652e+01,        +4.829681387575e-01
 5.00000000e-01,        -2.517102418464e+01,        +1.136445243893e+01,        -4.845958874863e-01,        -8.887628787707e-01,        -4.845958874862e-01,        -8.887628787706e-01,        -2.516749220289e+01,        +1.143298131911e+01
 1.00000000e+00,        -2.462103433486e+01,        +2.146777153336e+01,        -4.940914768598e-01,        -1.742232459813e+00,        -4.940914768598e-01,        -1.742232459813e+00,        -2.461013052676e+01,        +2.157326604042e+01
 1.50000000e+00,        -2.386097687228e+01,        +3.004083117450e+01,        -5.047315896184e-01,        -2.569985231097e+00,        -5.047315896184e-01,        -2.569985231097e+00,        -2.384289169044e+01,        +3.015668424313e+01
 2.00000000e+00,        -2.298459436376e+01,        +3.701930556256e+01,        -5.154999319937e-01,        -3.382796306281e+00,        -5.154999319936e-01,        -3.382796306281e+00,        -2.296052709919e+01,        +3.712964666388e+01
 2.50000000e+00,        -2.206724316533e+01,        +4.253876101988e+01,        -5.263840863258e-01,        -4.187997403197e+00,        -5.263840863258e-01,        -4.187997403197e+00,        -2.203869073804e+01,        +4.263467275998e+01
 3.00000000e+00,        -2.115830865181e+01,        +4.683813591106e+01,        -5.376587574622e-01,        -4.989353129902e+00,        -5.376587574622e-01,        -4.989353129902e+00,        -2.112668444798e+01,        +4.691616676873e+01
 3.50000000e+00,        -2.028464330923e+01,        +5.016620249996e+01,        -5.495903046115e-01,        -5.788499757401e+00,        -5.495903046115e-01,        -5.788499757401e+00,        -2.025104383859e+01,        +5.022632842526e+01
 4.00000000e+00,        -1.945823932182e+01,        +5.273675965103e+01,        -5.623724715849e-01,        -6.586036533671e+00,        -5.623724715849e-01,        -6.586036533671e+00,        -1.942341046284e+01,        +5.278054842473e+01
 4.50000000e+00,        -1.868267120653e+01,        +5.471890876297e+01,        -5.761327416770e-01,        -7.382099756769e+00,        -5.761327416770e-01,        -7.382099756769e+00,        -1.864707320377e+01,        +5.474835369499e+01
 5.00000000e+00,        -1.795719181775e+01,        +5.624190501239e+01,        -5.909507580111e-01,        -8.176632289547e+00,        -5.909507580111e-01,        -8.176632289547e+00,        -1.792108688621e+01,        +5.625882750963e+01
 5.50000000e+00,        -1.727904106497e+01,        +5.740351784341e+01,        -6.068740210820e-01,        -8.969504340556e+00,        -6.068740210819e-01,        -8.969504340556e+00,        -1.724257223591e+01,        +5.740934416870e+01
 6.00000000e+00,        -1.664466953007e+01,        +5.827779062360e+01,        -6.239287860817e-01,        -9.760565635136e+00,        -6.239287860817e-01,        -9.760565635136e+00,        -1.660791879101e+01,        +5.827355440578e+01
 6.50000000e+00,        -1.605035969960e+01,        +5.892118609256e+01,        -6.421270571430e-01,        -1.054966769395e+01,        -6.421270571430e-01,        -1.054966769395e+01,        -1.601338193651e+01,        +5.890763256381e+01
 7.00000000e+00,        -1.549252545317e+01,        +5.937717266655e+01,        -6.614710698274e-01,        -1.133667402530e+01,        -6.614710698274e-01,        -1.133667402530e+01,        -1.545536299796e+01,        +5.935486790994e+01
 7.50000000e+00,        -1.496784308303e+01,        +5.967957011474e+01,        -6.819563479633e-01,        -1.212146501637e+01,        -6.819563479633e-01,        -1.212146501637e+01,        -1.493052996327e+01,        +5.964897228686e+01
 8.00000000e+00,        -1.447329590834e+01,        +5.985497437331e+01,        -7.035739075575e-01,        -1.290393971707e+01,        -7.035739075575e-01,        -1.290393971707e+01,        -1.443585884950e+01,        +5.981646892530e+01
 8.50000000e+00,        -1.400617608552e+01,        +5.992451839912e+01,        -7.263118602491e-01,        -1.368401563094e+01,        -7.263118602491e-01,        -1.368401563094e+01,        -1.396863528934e+01,        +5.987843364086e+01
 9.00000000e+00,        -1.356406652844e+01,        +5.990515954065e+01,        -7.501565639838e-01,        -1.446162741720e+01,        -7.501565639838e-01,        -1.446162741720e+01,        -1.352643677900e+01,        +5.985177477206e+01
 9.50000000e+00,        -1.314481478898e+01,        +5.981062949929e+01,        -7.750934401733e-01,        -1.523672513713e+01,        -7.750934401733e-01,        -1.523672513713e+01,        -1.310710667020e+01,        +5.975018117999e+01
 1.00000000e+01,        -1.274650489106e+01,        +5.965214256622e+01,        -8.011075528825e-01,        -1.600927239382e+01,        -8.011075528825e-01,        -1.600927239382e+01,        -1.270872588349e+01,        +5.958483008277e+01
 1.05000000e+01,        -1.236743002971e+01,        +5.943892922550e+01,        -8.281840197091e-01,        -1.677924452520e+01,        -8.281840197091e-01,        -1.677924452520e+01,        -1.232958538862e+01,        +5.936492036348e+01
 1.10000000e+01,        -1.200606743403e+01,        +5.917864236242e+01,        -8.563083022795e-01,        -1.754662691360e+01,        -8.563083022795e-01,        -1.754662691360e+01,        -1.196816084525e+01,        +5.909807828652e+01
 1.15000000e+01,        -1.166105585698e+01,        +5.887766959170e+01,        -8.854664088890e-01,        -1.831141343375e+01,        -8.854664088890e-01,        -1.831141343375e+01,        -1.162308990706e+01,        +5.879066919367e+01
 1.20000000e+01,        -1.133117573282e+01,        +5.854137569917e+01,        -9.156450317401e-01,        -1.907360504405e+01,        -9.156450317401e-01,        -1.907360504405e+01,        -1.129315223834e+01,        +5.844803928053e+01
 1.25000000e+01,        -1.101533184254e+01,        +5.817429253901e+01,        -9.468316347734e-01,        -1.983320851978e+01,        -9.468316347734e-01,        -1.983320851978e+01,        -1.097725207790e+01,        +5.807470486952e+01
 1.30000000e+01,        -1.071253824348e+01,        +5.778026904397e+01,        -9.790145038868e-01,        -2.059023532380e+01,        -9.790145038868e-01,        -2.059023532380e+01,        -1.067440309780e+01,        +5.767450187240e+01
 1.35000000e+01,        -1.042190519702e+01,        +5.736259067519e+01,        -1.012182768505e+00,        -2.134470060882e+01,        -1.012182768505e+00,        -2.134470060882e+01,        -1.038371528239e+01,        +5.725070477863e+01
 1.40000000e+01,        -1.014262783589e+01,        +5.692407524984e+01,        -1.046326401478e+00,        -2.209662234419e+01,        -1.046326401478e+00,        -2.209662234419e+01,        -1.010438356244e+01,        +5.680612210369e+01
 1.45000000e+01,        -9.873976334269e+00,        +5.646715035508e+01,        -1.081436202814e+00,        -2.284602055921e+01,        -1.081436202814e+00,        -2.284602055921e+01,        -9.835677962788e+00,        +5.634317349555e+01
 1.50000000e+01,        -9.615287370593e+00,        +5.599391629355e+01,        -1.117503771652e+00,        -2.359291669445e+01,        -1.117503771652e+00,        -2.359291669445e+01,        -9.576935049923e+00,        +5.586395243301e+01
 1.55000000e+01,        -9.365956700183e+00,        +5.550619757429e+01,        -1.154521469984e+00,        -2.433733305206e+01,        -1.154521469984e+00,        -2.433733305206e+01,        -9.327550494203e+00,        +5.537027751840e+01
 1.60000000e+01,        -9.125432680163e+00,        +5.500558527046e+01,        -1.192482380942e+00,        -2.507929233594e+01,        -1.192482380942e+00,        -2.507929233594e+01,        -9.086972587657e+00,        +5.486373467665e+01
 1.65000000e+01,        -8.893210612101e+00,        +5.449347204628e+01,        -1.231380263866e+00,        -2.581881727260e+01,        -1.231380263866e+00,        -2.581881727260e+01,        -8.854696581684e+00,        +5.434571205462e+01
 1.70000000e+01,        -8.668827787655e+00,        +5.397108126273e+01,        -1.271209507930e+00,        -2.655593030396e+01,        -1.271209507930e+00,        -2.655593030396e+01,        -8.630259729221e+00,        +5.381742902419e+01
 1.75000000e+01,        -8.451859139706e+00,        +5.343949127271e+01,        -1.311965085656e+00,        -2.729065334330e+01,        -1.311965085656e+00,        -2.729065334330e+01,        -8.413236933385e+00,        +5.327996039425e+01
 1.80000000e+01,        -8.241913416048e+00,        +5.289965578655e+01,        -1.353642507372e+00,        -2.802300758657e+01,        -1.353642507372e+00,        -2.802300758657e+01,        -8.203236919350e+00,        +5.273425670846e+01
 1.85000000e+01,        -8.038629805105e+00,        +5.235242101096e+01,        -1.396237777361e+00,        -2.875301337139e+01,        -1.396237777361e+00,        -2.875301337139e+01,        -7.999898858693e+00,        +5.218116132887e+01
 1.90000000e+01,        -7.841674953539e+00,        +5.179854012627e+01,        -1.439747352264e+00,        -2.948069007689e+01,        -1.439747352264e+00,        -2.948069007689e+01,        -7.802889385971e+00,        +5.162142486741e+01
 1.95000000e+01,        -7.650740324502e+00,        +5.123868555807e+01,        -1.484168102083e+00,        -3.020605605813e+01,        -1.484168102083e+00,        -3.020605605813e+01,        -7.611899956138e+00,        +5.105571741969e+01
 2.00000000e+01,        -7.465539852608e+00,        +5.067345941361e+01,        -1.529497274031e+00,        -3.092912860947e+01,        -1.529497274031e+00,        -3.092912860947e+01,        -7.426644498865e+00,        +5.048463896972e+01
 2.05000000e+01,        -7.285807858052e+00,        +5.010340238535e+01,        -1.575732459334e+00,        -3.164992395183e+01,        -1.575732459334e+00,        -3.164992395183e+01,        -7.246857332106e+00,        +4.990872826683e+01
 2.10000000e+01,        -7.111297187536e+00,        +4.952900136941e+01,        -1.622871562997e+00,        -3.236845723951e+01,        -1.622871562997e+00,        -3.236845723951e+01,        -7.072291302571e+00,        +4.932847042166e+01
