        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e-02,        +7.071067811865e+00,        +7.450872503287e+00,        +1.604788059669e-03,        +6.691262141414e+00,        -2.155021023198e-03,        +7.071067811865e+00,        +6.691262141414e+00,        -2.155021023301e-03,        +7.450872522567e+00,        +1.614841660635e-03
 2.00000000e-02,        +7.071067811865e+00,        +7.450905774779e+00,        +3.181762793997e-03,        +6.691225941773e+00,        -4.282200125825e-03,        +7.071067811865e+00,        +6.691225941773e+00,        -4.282200125865e-03,        +7.450905859376e+00,        +3.201876673883e-03
 5.00000000e-01,        +7.071067811865e+00,        +7.453306170882e+00,        +7.682601273792e-02,        +6.686563238935e+00,        -1.037292089179e-01,        +7.071067811865e+00,        +6.686563238935e+00,        -1.037292089179e-01,        +7.453369434792e+00,        +7.731456799565e-02
 1.00000000e+00,        +7.071067811865e+00,        +7.457619287557e+00,        +1.520155608036e-01,        +6.676972953043e+00,        -2.030939414075e-01,        +7.071067811865e+00,        +6.676972953043e+00,        -2.030939414075e-01,        +7.457823946063e+00,        +1.529188774015e-01
 1.50000000e+00,        +7.071067811865e+00,        +7.463521085589e+00,        +2.269560598309e-01,        +6.665172409976e+00,        -2.991649969970e-01,        +7.071067811865e+00,        +6.665172409976e+00,        -2.991649969970e-01,        +7.463878407717e+00,        +2.282238408569e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.471467371827e+00,        +3.019342861102e-01,        +6.652005913637e+00,        -3.931976183799e-01,        +7.071067811865e+00,        +6.652005913637e+00,        -3.931976183799e-01,        +7.471994528586e+00,        +3.035447330271e-01
 2.50000000e+00,        +7.071067811865e+00,        +7.481729628565e+00,        +3.768136290552e-01,        +6.637500895475e+00,        -4.860296642554e-01,        +7.071067811865e+00,        +6.637500895475e+00,        -4.860296642554e-01,        +7.482448354637e+00,        +3.787435076999e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.494384002919e+00,        +4.513876545176e-01,        +6.621453648607e+00,        -5.780623145383e-01,        +7.071067811865e+00,        +6.621453648607e+00,        -5.780623145383e-01,        +7.495310672848e+00,        +4.536122890506e-01
 3.50000000e+00,        +7.071067811865e+00,        +7.509411278531e+00,        +5.254855601723e-01,        +6.603669693591e+00,        -6.694371882884e-01,        +7.071067811865e+00,        +6.603669693591e+00,        -6.694371882884e-01,        +7.510556376943e+00,        +5.279837110591e-01
 4.00000000e+00,        +7.071067811865e+00,        +7.526759749716e+00,        +5.989779877341e-01,        +6.584015747380e+00,        -7.601705978258e-01,        +7.071067811865e+00,        +6.584015747380e+00,        -7.601705978258e-01,        +7.528130914250e+00,        +6.017340937759e-01
 4.50000000e+00,        +7.071067811865e+00,        +7.546369976680e+00,        +6.717632913447e-01,        +6.562414372372e+00,        -8.502240994495e-01,        +7.071067811865e+00,        +6.562414372372e+00,        -8.502240994495e-01,        +7.547975231409e+00,        +6.747672533590e-01
 5.00000000e+00,        +7.071067811865e+00,        +7.568182042848e+00,        +7.437565235270e-01,        +6.538828871997e+00,        -9.395375980126e-01,        +7.071067811865e+00,        +6.538828871997e+00,        -9.395375980126e-01,        +7.570032107315e+00,        +7.470019591649e-01
 5.50000000e+00,        +7.071067811865e+00,        +7.592136875529e+00,        +8.148832124579e-01,        +6.513250420367e+00,        -1.028044182643e+00,        +7.071067811865e+00,        +6.513250420367e+00,        -1.028044182643e+00,        +7.594246034877e+00,        +8.183650029459e-01
 6.00000000e+00,        +7.071067811865e+00,        +7.618176071088e+00,        +8.850761971105e-01,        +6.485689097798e+00,        -1.115676557937e+00,        +7.071067811865e+00,        +6.485689097798e+00,        -1.115676557937e+00,        +7.620561551758e+00,        +8.887883385322e-01
 6.50000000e+00,        +7.071067811865e+00,        +7.646241546415e+00,        +9.542740175719e-01,        +6.456168072414e+00,        -1.202369828115e+00,        +7.071067811865e+00,        +6.456168072414e+00,        -1.202369828115e+00,        +7.648922092428e+00,        +9.582085673324e-01
 7.00000000e+00,        +7.071067811865e+00,        +7.676275295113e+00,        +1.022420062688e+00,        +6.424719781084e+00,        -1.288062788832e+00,        +7.071067811865e+00,        +6.424719781084e+00,        -1.288062788832e+00,        +7.679269893803e+00,        +1.026567153589e+00
 7.50000000e+00,        +7.071067811865e+00,        +7.708219287503e+00,        +1.089462100205e+00,        +6.391383247470e+00,        -1.372698528887e+00,        +7.071067811865e+00,        +6.391383247470e+00,        -1.372698528887e+00,        +7.711546492460e+00,        +1.093810432303e+00
 8.00000000e+00,        +7.071067811865e+00,        +7.742015503211e+00,        +1.155351984983e+00,        +6.356202102309e+00,        -1.456224609416e+00,        +7.071067811865e+00,        +6.356202102309e+00,        -1.456224609416e+00,        +7.745693248596e+00,        +1.159889297328e+00
 8.50000000e+00,        +7.071067811865e+00,        +7.777606054304e+00,        +1.220045426618e+00,        +6.319223115745e+00,        -1.538592972778e+00,        +7.071067811865e+00,        +6.319223115745e+00,        -1.538592972778e+00,        +7.781651693118e+00,        +1.224758779950e+00
 9.00000000e+00,        +7.071067811865e+00,        +7.814933348624e+00,        +1.283501761687e+00,        +6.280495122427e+00,        -1.619759705652e+00,        +7.071067811865e+00,        +6.280495122427e+00,        -1.619759705652e+00,        +7.819363734537e+00,        +1.288377661480e+00
 9.50000000e+00,        +7.071067811865e+00,        +7.853940255358e+00,        +1.345683715643e+00,        +6.240068238906e+00,        -1.699684741154e+00,        +7.071067811865e+00,        +6.240068238906e+00,        -1.699684741154e+00,        +7.858771798724e+00,        +1.350708148666e+00
 1.00000000e+01,        +7.071067811865e+00,        +7.894570251529e+00,        +1.406557156669e+00,        +6.197993292606e+00,        -1.778331546092e+00,        +7.071067811865e+00,        +6.197993292606e+00,        -1.778331546092e+00,        +7.899818940176e+00,        +1.411715594603e+00
 1.05000000e+01,        +7.071067811865e+00,        +7.936767540273e+00,        +1.466090848548e+00,        +6.154321403726e+00,        -1.855666814952e+00,        +7.071067811865e+00,        +6.154321403726e+00,        -1.855666814952e+00,        +7.942448935238e+00,        +1.471368245882e+00
 1.10000000e+01,        +7.071067811865e+00,        +7.980477138754e+00,        +1.524256209374e+00,        +6.109103679525e+00,        -1.931660180120e+00,        +7.071067811865e+00,        +6.109103679525e+00,        -1.931660180120e+00,        +7.986606356759e+00,        +1.529637005943e+00
 1.15000000e+01,        +7.071067811865e+00,        +8.025644937167e+00,        +1.581027081450e+00,        +6.062390992975e+00,        -2.006283942500e+00,        +7.071067811865e+00,        +6.062390992975e+00,        -2.006283942500e+00,        +8.032236628173e+00,        +1.586495211735e+00
 1.20000000e+01,        +7.071067811865e+00,        +8.072217731925e+00,        +1.636379516138e+00,        +6.014233825887e+00,        -2.079512824406e+00,        +7.071067811865e+00,        +6.014233825887e+00,        -2.079512824406e+00,        +8.079286056582e+00,        +1.641918424308e+00
 1.25000000e+01,        +7.071067811865e+00,        +8.120143236899e+00,        +1.690291576095e+00,        +5.964682161759e+00,        -2.151323745445e+00,        +7.071067811865e+00,        +5.964682161759e+00,        -2.151323745445e+00,        +8.127701846163e+00,        +1.695884234971e+00
 1.30000000e+01,        +7.071067811865e+00,        +8.169370076657e+00,        +1.742743156218e+00,        +5.913785417040e+00,        -2.221695621459e+00,        +7.071067811865e+00,        +5.913785417040e+00,        -2.221695621459e+00,        +8.177432094409e+00,        +1.748372088495e+00
 1.35000000e+01,        +7.071067811865e+00,        +8.219847765602e+00,        +1.793715823761e+00,        +5.861592401895e+00,        -2.290609186024e+00,        +7.071067811865e+00,        +5.861592401895e+00,        -2.290609186024e+00,        +8.228425774288e+00,        +1.799363124241e+00
 1.40000000e+01,        +7.071067811865e+00,        +8.271526676550e+00,        +1.843192677434e+00,        +5.808151303270e+00,        -2.358046833620e+00,        +7.071067811865e+00,        +5.808151303270e+00,        -2.358046833620e+00,        +8.280632705540e+00,        +1.848840035406e+00
 1.45000000e+01,        +7.071067811865e+00,        +8.324358001943e+00,        +1.891158224757e+00,        +5.753509684468e+00,        -2.423992483280e+00,        +7.071067811865e+00,        +5.753509684468e+00,        -2.423992483280e+00,        +8.334003518159e+00,        +1.896786946019e+00
 1.50000000e+01,        +7.071067811865e+00,        +8.378293710464e+00,        +1.937598276611e+00,        +5.697714496492e+00,        -2.488431461236e+00,        +7.071067811865e+00,        +5.697714496492e+00,        -2.488431461236e+00,        +8.388489610842e+00,        +1.943189304847e+00
 1.55000000e+01,        +7.071067811865e+00,        +8.433286501386e+00,        +1.982499857645e+00,        +5.640812097337e+00,        -2.551350400967e+00,        +7.071067811865e+00,        +5.640812097337e+00,        -2.551350400967e+00,        +8.444043106766e+00,        +1.988033795041e+00
 1.60000000e+01,        +7.071067811865e+00,        +8.489289758581e+00,        +2.025851131079e+00,        +5.582848276176e+00,        -2.612737158941e+00,        +7.071067811865e+00,        +5.582848276176e+00,        -2.612737158941e+00,        +8.500616808710e+00,        +2.031308258158e+00
 1.65000000e+01,        +7.071067811865e+00,        +8.546257505720e+00,        +2.067641336337e+00,        +5.523868280011e+00,        -2.672580744308e+00,        +7.071067811865e+00,        +5.523868280011e+00,        -2.672580744308e+00,        +8.558164155108e+00,        +2.073001631053e+00
 1.70000000e+01,        +7.071067811865e+00,        +8.604144363862e+00,        +2.107860737966e+00,        +5.463916840917e+00,        -2.730871260838e+00,        +7.071067811865e+00,        +5.463916840917e+00,        -2.730871260838e+00,        +8.616639178285e+00,        +2.113103894134e+00
